zlo,zhi,z_effective,s_Mpc_over_h,xi1_LRG_to_ELG,xi3_LRG_to_ELG
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,3.000000000000000000e+01,-2.005511956673312803e-03,2.080923164949882893e-03
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,5.000000000000000000e+01,-1.703097596021708755e-03,-1.592462441606449109e-03
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,7.000000000000000000e+01,1.889180286718431618e-04,2.915188478041396596e-04
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,9.000000000000000000e+01,1.838469725045551177e-04,1.116208359487820035e-04
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.100000000000000000e+02,-2.101317747702621992e-04,-5.545370416598724038e-04
8.000000000000000444e-01,9.000000000000000222e-01,8.510838444401710445e-01,1.300000000000000000e+02,-4.023191522960483258e-04,-7.084374184547195721e-04
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368448246e-01,3.000000000000000000e+01,-6.313166304882551760e-04,2.315103197633246786e-03
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368448246e-01,5.000000000000000000e+01,-1.564188077537531944e-03,-9.962311031414449188e-06
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368448246e-01,7.000000000000000000e+01,-8.884237584900478435e-04,-5.237826448572049411e-04
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368448246e-01,9.000000000000000000e+01,-8.086125115393427883e-04,-1.968269780780441090e-03
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368448246e-01,1.100000000000000000e+02,-8.389459797012794240e-04,-3.462367049007965161e-04
9.000000000000000222e-01,1.000000000000000000e+00,9.494780782368448246e-01,1.300000000000000000e+02,-6.871800357801637884e-04,1.905519058325165927e-04
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897832e+00,3.000000000000000000e+01,1.650749583117355149e-03,1.256344132304346899e-03
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897832e+00,5.000000000000000000e+01,1.273076014749627890e-03,-2.817390115589995820e-03
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897832e+00,7.000000000000000000e+01,1.177911497681401317e-03,-2.064631682807338380e-03
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897832e+00,9.000000000000000000e+01,1.566954821652427046e-03,7.520792660811372737e-04
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897832e+00,1.100000000000000000e+02,1.313211117773949556e-04,3.515390990185866208e-04
1.000000000000000000e+00,1.100000000000000089e+00,1.047687196223897832e+00,1.300000000000000000e+02,-2.364099241025862069e-04,1.729918384142771623e-03
